Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
_get_output_format,msvcrt.dll,.text,593252,77340,1,4364,16
__lconv_init,msvcrt.dll,.text,593252,66390,1,4364,32
fputc,msvcrt.dll,.text,593252,34340,14,4364,320
_strnicmp_l,msvcrt.dll,.text,593252,18750,1,4364,448
_getpid,msvcrt.dll,.text,593252,179b0,1,4364,32
_mbsnbicoll_l,msvcrt.dll,.text,593252,16810,1,4364,1472
_mbsnbicoll,msvcrt.dll,.text,593252,16800,1,4364,16
_strnicoll_l,msvcrt.dll,.text,593252,166c0,1,4364,320
getenv,msvcrt.dll,.text,593252,16480,1,4364,576
___lc_codepage_func,msvcrt.dll,.text,593252,107c0,384,4364,48
__iob_func,msvcrt.dll,.text,593252,efe0,7,4364,432
strcpy_s,msvcrt.dll,.text,593252,ea70,53,4364,208
_ismbblead,msvcrt.dll,.text,593252,e9e0,34,4364,144
_msize,msvcrt.dll,.text,593252,e910,6,4364,80
fflush,msvcrt.dll,.text,593252,d560,7,4364,80
fwrite,msvcrt.dll,.text,593252,9340,4,4364,1104
__getmainargs,msvcrt.dll,.text,593252,8e90,1,4364,1200
atexit,msvcrt.dll,.text,593252,87b0,1,4364,1760
??0exception@@QEAA@AEBV0@@Z,msvcrt.dll,.text,593252,8730,1,4364,128
_setmbcp,msvcrt.dll,.text,593252,7ee0,1,4364,2128
__crtLCMapStringA,msvcrt.dll,.text,593252,75f0,2,4364,2288
__set_app_type,msvcrt.dll,.text,593252,75d0,1,4364,32
??0exception@@QEAA@AEBQEBDH@Z,msvcrt.dll,.text,593252,7540,1,4364,144
