Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Pid Win,Size
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
CscNetApiGetInterface,cscapi.dll,.text,43456,1400,1,6548,6548,6416
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
unnamedImageEntryPoint,cscapi.dll,.text,43456,10a0,92,6548,6548,864
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
GetNetResourceFromLocalPathW,ntshrui.dll,.text,354380,5560,80,6548,6548,528
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
unnamedImageEntryPoint,ntshrui.dll,.text,354380,11b0,2,6548,6548,17328
DestroyLinkInfo,LINKINFO.dll,.text,22876,1b80,20,6548,6548,1872
